device ID,time,VOC ,temp,humidity
69,2022-10-01 00:11:37,168.430661,25.51,61.41
69,2022-10-01 00:26:41,165.288949,25.51,61.44
69,2022-10-01 00:41:37,172.79415,25.51,61.32
69,2022-10-01 00:56:33,172.900492,25.5,61.35
69,2022-10-01 01:11:38,173.424433,25.5,61.32
69,2022-10-01 01:26:35,173.249786,25.5,61.32
69,2022-10-01 01:41:37,177.441313,25.5,61.32
69,2022-10-01 01:56:39,174.646962,25.5,61.29
69,2022-10-01 02:11:39,174.472315,25.5,61.23
69,2022-10-01 02:26:38,176.742725,25.5,61.14
69,2022-10-01 02:41:42,186.348308,25.5,61.05
69,2022-10-01 02:56:41,190.889129,25.5,61
69,2022-10-01 03:11:39,184.951132,25.5,60.9
69,2022-10-01 03:26:38,185.64972,25.5,60.84
69,2022-10-01 03:56:38,189.142659,25.5,60.84
69,2022-10-01 03:56:40,194.906009,25.5,60.73
69,2022-10-01 04:11:41,190.889129,25.5,60.79
69,2022-10-01 04:41:38,191.937011,25.5,60.79
69,2022-10-01 04:41:42,198.171589,25.49,60.79
69,2022-10-01 05:11:39,195.923976,25.43,60.84
69,2022-10-01 05:11:40,189.434104,25.43,60.76
69,2022-10-01 05:26:42,193.658723,25.37,60.84
69,2022-10-01 05:41:44,196.002211,25.38,60.73
69,2022-10-01 05:56:45,194.186883,25.37,60.7
69,2022-10-01 06:11:45,195.364042,25.36,60.76
69,2022-10-01 06:26:48,199.220116,25.49,60.55
69,2022-10-01 06:41:52,201.244095,25.51,59.79
69,2022-10-01 06:56:50,200.517393,25.71,59.39
69,2022-10-01 07:11:51,206.475056,25.88,58.85
69,2022-10-01 07:26:52,205.11909,26.03,58.44
69,2022-10-01 07:41:53,203.764425,26.25,57.91
69,2022-10-01 07:56:52,208.895709,26.24,58.01
69,2022-10-01 08:11:56,209.6472,26.22,58.15
69,2022-10-01 08:26:53,211.430985,26.33,57.88
69,2022-10-01 09:11:57,211.852372,26.52,57.39
69,2022-10-01 09:11:59,213.518384,26.44,57.71
69,2022-10-01 09:26:49,213.606692,26.42,57.86
69,2022-10-01 09:41:58,216.01262,26.49,57.59
69,2022-10-01 09:57:00,216.894392,26.69,57.09
69,2022-10-01 10:27:02,217.136267,26.62,57.36
69,2022-10-01 10:41:57,217.136267,26.62,57.36
69,2022-10-01 10:41:59,220.401474,26.62,57.33
69,2022-10-01 10:42:00,223.635129,26.61,57.47
69,2022-10-01 10:57:05,224.068578,26.54,57.65
69,2022-10-01 11:11:59,223.740513,26.54,57.71
69,2022-10-01 11:27:00,227.647745,26.53,57.74
69,2022-10-01 11:57:13,229.866118,26.56,57.68
69,2022-10-01 12:12:09,229.866118,26.56,57.68
69,2022-10-01 12:12:11,221.381036,26.62,57.56
69,2022-10-01 12:12:16,220.794363,26.64,57.44
69,2022-10-01 12:27:06,224.373509,26.69,57.36
69,2022-10-01 12:42:02,215.340624,26.71,57.15
69,2022-10-01 12:57:01,220.960146,26.84,56.95
69,2022-10-01 13:12:24,221.990091,26.86,56.95
69,2022-10-01 13:27:06,216.551372,26.87,56.95
69,2022-10-01 13:42:05,213.026209,26.83,57.15
69,2022-10-01 13:57:11,216.229602,26.87,56.98
69,2022-10-01 14:12:10,213.390598,26.93,56.88
69,2022-10-01 14:42:01,218.542639,26.84,57.15
69,2022-10-01 14:42:06,221.411798,26.83,57.18
69,2022-10-01 14:57:06,222.22199,26.78,57.33
69,2022-10-01 15:12:09,221.736789,26.78,57.36
69,2022-10-01 15:27:07,209.612228,26.74,57.59
69,2022-10-01 15:57:07,219.52944,26.7,57.59
69,2022-10-01 15:57:11,204.375001,26.69,57.85
69,2022-10-01 16:12:15,215.847219,26.67,57.77
69,2022-10-01 16:42:22,208.687058,26.63,57.83
69,2022-10-01 16:42:24,211.585415,26.62,57.83
69,2022-10-01 16:57:55,213.72134,26.58,58.01
69,2022-10-01 17:12:22,213.242424,26.54,58.01
69,2022-10-01 17:27:19,202.103254,26.47,58.42
69,2022-10-01 17:42:16,197.720867,26.38,58.8
69,2022-10-01 18:27:41,199.854147,26.27,59.21
69,2022-10-01 18:27:44,200.786513,26.22,59.33
69,2022-10-01 18:27:47,208.302527,26.14,59.39
69,2022-10-01 22:57:21,204.548199,26.09,59.53
69,2022-10-01 22:57:22,199.92559,26.04,59.77
69,2022-10-01 22:57:25,203.919376,25.99,59.94
69,2022-10-01 22:57:27,204.33547,25.97,60.06
69,2022-10-01 22:57:30,211.635106,25.93,60.09
69,2022-10-01 22:57:32,217.852988,25.91,60.03
69,2022-10-01 22:57:36,224.325555,25.91,59.94
69,2022-10-01 22:57:39,226.946327,25.93,59.85
69,2022-10-01 22:57:43,230.194091,25.88,59.97
69,2022-10-01 22:57:45,235.511823,25.89,59.94
69,2022-10-01 22:57:47,237.478176,25.86,59.94
69,2022-10-01 22:57:50,243.970386,25.86,59.88
69,2022-10-01 22:57:52,245.806166,25.84,59.97
69,2022-10-01 22:57:54,242.361127,25.83,60.2
69,2022-10-01 22:57:56,242.288953,25.8,60.26
69,2022-10-01 22:57:59,242.607926,25.79,60.36
69,2022-10-01 22:58:01,239.097868,25.76,60.58
69,2022-10-01 22:58:03,229.267906,25.75,60.91
69,2022-10-01 23:27:28,230.299869,25.75,60.91
69,2022-10-01 23:27:33,235.546083,25.72,60.91
69,2022-10-01 23:42:30,240.836785,25.7,60.85
69,2022-10-02 00:42:24,236.523805,25.7,61
