device 70,device 81,device 83,device 89,device 96,device 99
120.0696598,167.3947755,304.6430538,469.1394618,210.0338883,180.4523438
106.864811,183.8105415,232.627656,378.4183515,237.8919015,185.3011303
113.11032,173.1810705,231.4015605,420.732685,266.597259,181.988876
113.765884,161.8768213,223.59869,430.8025495,197.6705815,191.0316478
117.8788078,182.0856398,184.221463,295.8004693,199.7577178,182.6040015
121.5023418,219.6553043,202.2691406,482.8316255,347.8226545,159.4192588
132.383211,194.360323,209.035556,305.947313,405.6807618,853.6330448
150.0946325,169.9703125,151.013403,200.3058468,223.730731,728.7893893
149.5682725,172.9948498,194.2943225,199.8744535,200.9410173,289.3040085
155.9143955,173.667299,247.929721,178.919734,174.8845253,233.878979
192.3797455,179.3164724,427.655046,191.51786,181.1796263,262.1078168
202.254219,223.7232723,438.951882,182.777131,115.4037635,208.8376883
226.1259105,197.976471,294.763039,187.0508373,76.04960375,216.7578575
238.4071855,202.0752703,253.4353094,193.9529485,84.73533225,270.6741123
276.020677,255.7014378,346.267847,245.8031035,52.9173175,279.0410858
273.7461248,244.7077975,280.1798233,211.8289128,49.36487,278.4880505
259.5418288,284.5245158,537.5373758,267.4788878,209.9586123,305.1155143
338.5630823,304.2514198,354.0217173,403.3275733,204.197947,197.1074033
366.8286165,292.5556053,729.8877922,833.2365838,336.749685,181.5081223
403.5575105,419.383909,1237.59802,1255.526472,850.6308335,787.2615425
339.2439705,430.6494615,1144.218498,847.6901645,876.307941,712.7443458
532.9215908,696.061654,1335.446188,810.9827988,1055.678057,1228.585191
468.8170928,381.109822,868.147086,527.6423018,676.5962903,1395.733693
240.1339708,486.8701783,855.7214785,412.0875995,892.3100845,667.339232
240.8201265,410.4746128,727.3286658,464.942511,680.1195908,656.719532
175.4956903,489.6391568,622.9011163,367.2445605,652.7932913,331.947392
203.245044,383.142926,663.8787775,368.5401203,466.1454145,314.2942743
180.2629245,452.0241265,576.3189053,275.5208608,570.4253355,404.8471218
194.1363635,452.6911375,497.6840463,292.2989903,579.5247875,428.179051
238.8707498,427.0252425,467.4027245,292.2630555,898.5196568,514.4766233
203.2398713,338.2017878,470.050219,293.050956,1085.851669,600.3242468
190.9516265,504.2137093,463.5084778,278.5331703,926.8589823,544.8980298
242.984222,302.231042,484.1968605,323.8845968,412.8870003,490.2430518
289.2820088,236.9108425,581.880353,252.36441,245.405823,306.3926073
291.34405,245.0472295,543.6089485,200.9041813,292.1608858,329.1316053
301.7742105,231.8883,555.9870303,208.1139858,144.7278275,249.277351
284.6820953,232.0761598,476.4590402,206.0440407,141.035739,252.3745385
310.287342,209.3617053,381.958026,207.5782772,45.57031025,278.5458263
265.1479003,268.4827615,704.0354415,222.9185108,247.3209305,299.092466
277.1103133,368.7476533,691.705392,231.8718248,372.4079053,262.247899
283.2479075,366.0479778,725.2284115,299.6110648,460.274854,405.8932415
263.417012,288.1753648,609.88445,262.9006773,271.422409,411.5047658
303.5768933,288.888673,585.1623375,272.5648705,275.1650448,359.8145723
267.0257363,312.8007363,450.9047866,239.9603358,341.1163265,463.6659443
291.051489,334.402967,474.0237505,346.5711845,323.6081083,503.2373198
270.4575468,337.1174123,723.6080323,372.8433635,435.166196,490.9530678
272.0398107,351.7614365,446.104994,386.9148275,476.201424,531.860062
295.5224702,348.0094785,708.9392308,503.4623988,425.5811605,618.8733425
330.1956788,366.2984823,666.242695,638.0520675,478.6491283,670.5548555
395.0550098,425.7959855,1046.67289,590.1896483,1024.725791,587.3370968
287.079906,428.489508,1132.577262,520.7013513,1047.322014,837.5567955
263.082719,384.243974,1030.857723,560.3910528,1067.969247,670.7461285
207.6161163,251.1933165,454.2231605,296.3981628,712.869311,397.6579628
228.4477378,260.0687923,426.4397583,277.3563763,498.4166098,364.557231
225.8664423,178.9971755,440.5033938,240.3440378,383.0392875,302.684714
233.9775457,268.6669258,559.685771,277.610757,413.094842,407.8953085
263.7848434,260.8116543,508.4730303,249.6703037,403.1814833,406.1465715
255.867804,387.5901795,642.3976885,298.1343246,431.234024,425.1884268
