time ,device 90,device 102,device 111,device 112,device 113,device 114,device 115,device 116,device 117,device 118,device 120,device 121,device 122,device 123,device 124,device 126,device 131,device 132,device 135,device 136,device 141,device 142,device 143,device 144,device 145,device 146,device 147,device 148,device 149,device 150,device 151,device 152,device 153,device 154,device 155,device 156,device 157,device 158,device 159
2022/8/1,,,,,254.7434528,374.4056187,330.2532537,,,,347.7115039,,,296.3534779,,,369.9921815,335.6177433,271.8753147,372.0597248,,,,,,,,473.123114,,,,,,,,390.480295,367.9449267,299.7954826,250.8494288
2022/8/2,399.456884,,,,205.565438,271.9714125,253.9923044,,,,231.695574,,,202.9257089,,,239.2497616,224.3475008,199.4315344,264.9378672,731.2705734,434.968716,327.1950213,429.7671331,358.6420003,220.9683298,310.0085402,237.6532005,275.6369601,,,407.0263106,416.5537527,,,322.1081149,300.5497778,215.2471959,222.1062006
2022/8/3,222.2303459,,457.7558627,338.3367319,183.4731296,248.0363367,247.801424,309.550404,,401.6521759,211.2599736,308.8298911,275.1870315,184.9434812,331.2179065,,233.5661894,209.3482059,187.7688192,246.1532061,330.0142993,395.0635698,297.6842168,317.212126,335.2414258,188.5790328,184.3005326,823.3669417,224.9333436,288.8529365,291.0184191,336.0595299,380.2711573,266.4316408,398.8633361,287.2162385,291.1944913,205.8577132,199.6760157
2022/8/4,227.7412315,,300.8235582,260.911926,180.7536574,252.712472,216.5651173,249.5584797,,265.33584,217.9825008,224.1802233,232.2878049,183.4187611,235.3442195,,254.9384654,210.337897,189.3199232,246.6037466,327.5022288,338.931171,256.7471499,283.6021029,315.0841405,186.697789,248.906707,,227.7388451,331.2691109,290.3037451,332.5317286,358.5031712,229.4643124,240.5081125,293.3720105,292.1768827,213.1148905,199.5714879
2022/8/5,179.0893956,,266.6448298,234.9310835,174.8593134,245.2437371,211.6928758,238.3424222,,230.3335831,216.6476369,204.9419418,215.9243378,177.4974967,210.1130639,,248.7162328,205.0391639,185.8815746,239.6517605,308.8651079,295.7980781,248.1873552,256.0106782,325.9124255,181.6880118,232.0771899,,226.0825143,294.021103,384.6974855,332.4800624,312.3124613,230.1616385,262.2368479,313.7065332,281.2451038,212.3189903,193.4664161
2022/8/6,175.8553818,,228.1328787,205.3463759,147.090619,209.9375696,180.468704,198.1221956,,196.6771133,184.8949544,167.4605552,187.3360867,146.9438755,175.198762,,206.4592494,180.9672147,155.171208,207.3094734,285.0215715,279.795126,207.513768,223.2671354,334.6638738,159.507568,203.1557879,,178.5673829,300.0449122,313.9335689,289.5766818,263.3627587,202.5651706,213.5980221,264.0739913,246.4243837,180.3613578,162.8579673
2022/8/7,252.6680878,,259.0171027,190.6780845,146.8746803,204.4337937,184.6061142,187.1025078,,225.9818112,178.7104348,157.5736113,173.8395284,148.6211666,168.4987974,,193.1848074,172.2708923,154.6262634,198.5734244,266.0921923,271.3703417,204.6619007,238.3545621,487.9299146,154.9908501,235.0495088,,174.3738045,326.008532,382.7634785,267.6974686,249.6576948,193.2574488,319.3602194,248.2340341,236.5110054,175.8191788,160.3426749
2022/8/8,340.2964897,,283.054739,187.880286,167.3453505,204.6125585,223.1184703,188.5799128,,243.7047794,176.5482189,204.5828243,170.0341112,220.860135,183.9205443,,173.6518008,182.5546784,206.3743884,215.0504417,279.9695137,280.3779576,247.2495094,216.9422758,398.6602207,167.2732041,259.5602524,,192.8227173,302.412241,368.8506454,251.1161146,355.3155376,203.7952395,605.5622948,232.5227618,243.3178485,201.6118894,215.716417
2022/8/9,468.0923079,252.2444351,213.548588,160.1881343,132.3258264,170.6085685,175.7322925,144.0944837,,180.7256133,137.6358021,221.401985,143.9503608,286.004019,151.2630796,296.5043589,143.7486618,150.674295,232.7134502,178.8148649,243.1274904,184.1458285,205.6727492,165.8940982,247.7128489,147.0302329,228.1914977,,161.6234871,262.6212657,295.4491513,183.8274805,442.8789731,166.4827839,557.680185,162.0895735,200.0642104,190.6782168,232.6216902
2022/8/10,424.9593893,179.4483193,221.0359566,173.4872647,145.1604951,187.3469857,199.6105254,157.6009014,,184.9070213,156.5515946,198.2719278,156.9796816,252.0738371,163.1863461,247.1128797,157.6211041,160.3415045,251.8392535,189.4690873,311.7367259,228.739754,232.047159,185.5305386,277.0105981,156.3133628,390.0500305,,209.1931081,489.2465761,444.1729882,211.8423251,431.0122797,177.9080789,609.5026317,187.8807198,217.419364,200.153418,282.0818249
2022/8/11,285.4216274,187.0311933,220.8275949,169.3151113,138.4631383,180.4239023,179.006533,163.8509405,,188.9706255,157.3903735,183.3150875,153.7869711,225.2347993,153.3679444,242.8342,162.2379462,155.5465147,186.053736,182.637305,249.6750738,258.4407017,230.2019782,191.4268803,305.69906,146.9877268,306.9227919,,183.5884395,434.94598,480.3032784,216.9966308,377.8453329,176.2558394,374.9792304,245.4168011,210.7893571,181.8655137,226.0468887
2022/8/12,505.1081491,169.901294,265.8098395,188.1038759,155.1111932,211.5155598,211.197177,189.6212197,562.73772,234.4308747,179.539974,164.1242865,175.376169,239.2344341,168.5674731,205.5697804,177.0732531,178.2516659,223.3068603,202.845445,246.5074183,303.6789083,271.2250506,237.743291,346.8504813,158.5535843,394.023209,,205.5769816,278.4764697,314.1894408,264.5979452,381.232047,200.987941,382.0569252,257.9051328,251.5322591,203.3692917,257.2855249
2022/8/13,1031.682967,159.0564054,310.5992396,200.1119461,172.6021496,224.3599464,215.467935,205.3336065,,274.4667944,194.2842106,234.413811,185.4773573,489.9580821,197.7402358,194.4457815,197.7472412,205.2332044,274.3079726,235.8318949,318.0062887,284.4072572,259.3513973,251.4492574,358.2249579,185.4113785,297.7591354,,228.2569751,390.5798072,497.6518299,291.8382427,381.9036596,224.3042835,536.7308066,246.1440741,269.1586877,232.2857421,359.1736344
2022/8/14,940.469151,148.7035328,260.8361802,206.7623955,182.3733325,239.6016735,233.5012193,219.5571472,,223.0591558,215.5491665,208.8432947,202.7035033,336.3293475,199.6497149,186.192327,209.2917219,205.3869122,271.8101803,237.2106972,357.3888624,288.0206171,253.7767827,238.267131,374.367749,192.8707495,440.2154848,,246.4732389,739.9738846,584.9413258,285.3330918,500.6654995,231.8966043,460.1324695,286.8071483,278.4837523,237.9088596,390.2601386
2022/8/15,981.451444,151.7919626,273.4629266,200.3660361,182.8036358,229.5159058,226.3296253,217.5206207,375.9431956,236.5236872,233.2470094,239.5030483,194.8958007,318.911133,207.221409,203.0938554,238.4797708,207.832242,238.613317,240.2832758,299.4405718,327.2253494,220.7862031,235.9884592,369.2115542,202.5547913,471.1733983,,264.8199717,513.335535,438.5083125,315.5671711,416.239738,231.957259,543.5087264,386.4618621,261.5405038,223.3481917,269.9941206
2022/8/16,1173.289838,177.3350566,284.4886986,,196.5657584,250.4987678,273.0482621,,352.8320678,243.3601621,220.7689407,300.7347768,,438.1903539,222.552533,271.1997904,214.6526276,220.625818,328.4807061,253.9071714,315.2651231,288.6271725,270.6841857,244.6842221,399.0906652,206.6879533,564.1868706,,265.0041969,679.2294036,743.9897144,298.0178414,547.4501847,,452.9282127,401.8871038,287.7946156,258.6277364,400.5094365
2022/8/17,904.4192693,162.0680599,275.5028817,,171.5286692,213.4144444,231.1219871,,352.0548907,239.8430596,188.7883706,180.6153892,,279.3175816,178.5608435,252.1344004,184.4292653,189.5531655,257.6915059,218.8011809,292.8224255,282.1825441,250.6902086,228.0648863,379.5536164,172.1899457,365.8348243,,204.8060559,566.4498968,905.313192,256.6230849,426.2564299,,427.3855521,266.6250587,253.3267933,216.6135792,323.3627777
2022/8/18,780.3403512,154.7916374,225.1853338,,137.1848607,181.2340798,167.5815697,,664.2690707,198.728977,160.9441681,136.6246071,,152.9064322,146.0400174,217.1871899,182.1976165,158.2186206,153.6944775,178.265605,254.3508587,280.7333971,186.7451644,211.8290793,306.6673629,142.4853978,344.1308768,751.7462648,160.452249,282.5091365,411.1302406,270.3098209,313.1757155,,247.8727719,294.6157208,211.1668067,157.8946829,159.1913195
2022/8/19,739.5948768,138.1150658,226.6252262,,149.7592853,196.0352854,210.9428268,,207.6175224,195.4691485,174.3831771,179.3049473,,274.43972,174.0279967,199.9648527,186.6960865,170.5093692,209.1117446,204.7609577,247.9811257,221.2929475,204.8772957,195.7535649,268.0945563,163.8072314,356.8887376,582.5961585,218.812391,329.36314,515.3519878,243.1604066,336.4403462,,397.13743,363.0626383,226.6403692,192.302573,245.7210973
2022/8/20,1233.747839,132.9168511,237.1193189,,152.3803513,198.4802305,202.3425124,,220.3979492,204.8570535,169.2220934,226.8163451,,428.9253824,177.2098278,214.4017394,165.1987979,180.5398494,377.7204331,211.6250203,294.5842791,203.9170375,218.9387681,187.5251569,273.4895371,168.5827313,402.5966104,337.7691437,252.887912,454.5028468,440.7872667,218.4007318,419.4887226,,434.6239528,192.8528178,236.1167343,247.0396727,444.7708901
2022/8/21,987.565356,148.1928292,216.6012374,,140.9791259,192.9261377,193.7616524,,521.9201028,188.6712914,158.2329693,142.2857915,,229.7527933,150.9875695,215.949979,165.2992374,160.436386,221.8221926,180.9008277,293.7659954,262.8450195,234.7645061,198.4707354,264.8572756,146.9436139,367.0531457,548.7491606,187.9460319,275.1197709,588.0734772,237.7830763,386.3358493,,287.5450124,198.543579,226.5290079,181.0295074,268.3532429
2022/8/22,965.8816558,118.8512886,184.303316,,121.0518145,153.2120428,147.2866554,,191.4540201,160.9143667,136.4621287,170.8830961,,294.2689047,141.0706157,171.3519002,171.3581608,143.0326635,187.8854039,159.8084094,222.091002,204.5129159,153.4815878,165.081596,284.6330803,134.4969236,378.9369746,386.22486,199.9547633,278.4743741,508.613917,209.0587081,405.0067333,,356.5298395,184.9756967,173.6385033,151.1679279,212.0788519
