"airTemperature.noaa","airTemperature.sg","cloudCover.noaa","cloudCover.sg","gust.noaa","gust.sg","humidity.noaa","humidity.sg","precipitation.noaa","precipitation.sg","pressure.noaa","pressure.sg","time","windDirection.noaa","windDirection.sg","windSpeed.noaa","windSpeed.sg"
11.62,11.62,80.7,80.7,11.91,11.91,15.47,15.47,0,0,1020.19,1020.19,2022-02-28 16:00:00,332.32,332.32,6.15,6.15
10.43,10.43,65.2,65.2,12.43,12.43,16.63,16.63,0,0,1021.06,1021.06,2022-02-28 17:00:00,339.79,339.79,6.56,6.56
9.24,9.24,49.7,49.7,12.94,12.94,17.8,17.8,0,0,1021.93,1021.93,2022-02-28 18:00:00,347.27,347.27,6.98,6.98
8.61,8.61,38.43,38.43,12.41,12.41,20.37,20.37,0,0,1022.42,1022.42,2022-02-28 19:00:00,354.76,354.76,6.93,6.93
7.99,7.99,27.17,27.17,11.88,11.88,22.93,22.93,0,0,1022.9,1022.9,2022-02-28 20:00:00,2.26,2.26,6.89,6.89
7.37,7.37,15.9,15.9,11.36,11.36,25.5,25.5,0,0,1023.39,1023.39,2022-02-28 21:00:00,9.75,9.75,6.84,6.84
6.72,6.72,41.23,41.23,10.82,10.82,28,28,0,0,1024.6,1024.6,2022-02-28 22:00:00,16.23,16.23,6.06,6.06
6.08,6.08,66.57,66.57,10.29,10.29,30.5,30.5,0,0,1025.8,1025.8,2022-02-28 23:00:00,22.71,22.71,5.29,5.29
5.43,5.43,91.9,91.9,9.76,9.76,33,33,0,0,1027.01,1027.01,2022-03-01 00:00:00,29.19,29.19,4.51,4.51
6.4,6.4,89.07,89.07,7.68,7.68,29.87,29.87,0,0,1027.3,1027.3,2022-03-01 01:00:00,34.17,34.17,4.11,4.11
7.37,7.37,86.23,86.23,5.61,5.61,26.73,26.73,0,0,1027.58,1027.58,2022-03-01 02:00:00,39.16,39.16,3.72,3.72
8.33,8.33,83.4,83.4,3.54,3.54,23.6,23.6,0,0,1027.87,1027.87,2022-03-01 03:00:00,44.14,44.14,3.32,3.32
9.18,9.18,57.17,57.17,3.9,3.9,23.27,23.27,0,0,1026.66,1026.66,2022-03-01 04:00:00,87.53,87.53,3.38,3.38
10.03,10.03,30.93,30.93,4.26,4.26,22.93,22.93,0,0,1025.44,1025.44,2022-03-01 05:00:00,130.93,130.93,3.44,3.44
10.88,10.88,4.7,4.7,4.62,4.62,22.6,22.6,0,0,1024.23,1024.23,2022-03-01 06:00:00,174.32,174.32,3.5,3.5
10.88,10.88,4.8,4.8,4.92,4.92,23.07,23.07,0,0,1023.5,1023.5,2022-03-01 07:00:00,175.03,175.03,4.08,4.08
10.87,10.87,4.9,4.9,5.21,5.21,23.53,23.53,0,0,1022.77,1022.77,2022-03-01 08:00:00,175.74,175.74,4.67,4.67
10.86,10.86,5,5,5.51,5.51,24,24,0,0,1022.04,1022.04,2022-03-01 09:00:00,176.45,176.45,5.25,5.25
9.31,9.31,36.67,36.67,4.18,4.18,26.53,26.53,0,0,1022.35,1022.35,2022-03-01 10:00:00,170.74,170.74,3.92,3.92
7.75,7.75,68.33,68.33,2.85,2.85,29.07,29.07,0,0,1022.66,1022.66,2022-03-01 11:00:00,165.04,165.04,2.58,2.58
6.19,6.19,100,100,1.51,1.51,31.6,31.6,0,0,1022.96,1022.96,2022-03-01 12:00:00,159.33,159.33,1.25,1.25
5.79,5.79,100,100,1.42,1.42,32.6,32.6,0,0,1023.05,1023.05,2022-03-01 13:00:00,177.87,177.87,1.19,1.19
5.39,5.39,100,100,1.32,1.32,33.6,33.6,0,0,1023.14,1023.14,2022-03-01 14:00:00,196.42,196.42,1.14,1.14
4.99,4.99,100,100,1.22,1.22,34.6,34.6,0,0,1023.22,1023.22,2022-03-01 15:00:00,214.96,214.96,1.08,1.08
4.58,4.58,67.3,67.3,1.45,1.45,36.2,36.2,0,0,1022.84,1022.84,2022-03-01 16:00:00,232.16,232.16,1.39,1.39
4.16,4.16,34.6,34.6,1.68,1.68,37.8,37.8,0,0,1022.46,1022.46,2022-03-01 17:00:00,249.35,249.35,1.69,1.69
3.75,3.75,1.9,1.9,1.91,1.91,39.4,39.4,0,0,1022.07,1022.07,2022-03-01 18:00:00,266.55,266.55,2,2
3.5,3.5,1.27,1.27,2.03,2.03,38.1,38.1,0,0,1021.49,1021.49,2022-03-01 19:00:00,273.89,273.89,2.1,2.1
3.26,3.26,0.63,0.63,2.14,2.14,36.8,36.8,0,0,1020.9,1020.9,2022-03-01 20:00:00,281.23,281.23,2.21,2.21
3.01,3.01,0,0,2.25,2.25,35.5,35.5,0,0,1020.32,1020.32,2022-03-01 21:00:00,288.57,288.57,2.31,2.31
3.64,3.64,0,0,2.33,2.33,33.67,33.67,0,0,1020.48,1020.48,2022-03-01 22:00:00,283.32,283.32,2.26,2.26
4.28,4.28,0,0,2.42,2.42,31.83,31.83,0,0,1020.63,1020.63,2022-03-01 23:00:00,278.08,278.08,2.21,2.21
4.91,4.91,0,0,2.5,2.5,30,30,0,0,1020.79,1020.79,2022-03-02 00:00:00,272.83,272.83,2.16,2.16
7.42,7.42,0,0,3.44,3.44,26.73,26.73,0,0,1020.66,1020.66,2022-03-02 01:00:00,259.81,259.81,2.75,2.75
9.92,9.92,0,0,4.38,4.38,23.47,23.47,0,0,1020.53,1020.53,2022-03-02 02:00:00,246.8,246.8,3.35,3.35
12.43,12.43,0,0,5.32,5.32,20.2,20.2,0,0,1020.4,1020.4,2022-03-02 03:00:00,233.78,233.78,3.94,3.94
14.06,14.06,0,0,5.51,5.51,18.33,18.33,0,0,1019.03,1019.03,2022-03-02 04:00:00,231.45,231.45,4.02,4.02
15.7,15.7,0,0,5.71,5.71,16.47,16.47,0,0,1017.67,1017.67,2022-03-02 05:00:00,229.11,229.11,4.11,4.11
17.33,17.33,0,0,5.9,5.9,14.6,14.6,0,0,1016.3,1016.3,2022-03-02 06:00:00,226.78,226.78,4.19,4.19
17.47,17.47,0,0,5.44,5.44,14.4,14.4,0,0,1015.8,1015.8,2022-03-02 07:00:00,234.39,234.39,3.91,3.91
17.61,17.61,0,0,4.98,4.98,14.2,14.2,0,0,1015.31,1015.31,2022-03-02 08:00:00,242,242,3.62,3.62
17.75,17.75,0,0,4.52,4.52,14,14,0,0,1014.81,1014.81,2022-03-02 09:00:00,249.61,249.61,3.34,3.34
15.52,15.52,0,0,3.89,3.89,16.23,16.23,0,0,1015.51,1015.51,2022-03-02 10:00:00,274.1,274.1,3.14,3.14
13.3,13.3,0,0,3.25,3.25,18.47,18.47,0,0,1016.2,1016.2,2022-03-02 11:00:00,298.59,298.59,2.94,2.94
11.07,11.07,0,0,2.62,2.62,20.7,20.7,0,0,1016.9,1016.9,2022-03-02 12:00:00,323.08,323.08,2.74,2.74
10.5,10.5,0,0,2.56,2.56,20.3,20.3,0,0,1017.28,1017.28,2022-03-02 13:00:00,322.82,322.82,2.72,2.72
9.92,9.92,0,0,2.5,2.5,19.9,19.9,0,0,1017.66,1017.66,2022-03-02 14:00:00,322.55,322.55,2.69,2.69
9.34,9.34,0,0,2.44,2.44,19.5,19.5,0,0,1018.03,1018.03,2022-03-02 15:00:00,322.29,322.29,2.67,2.67
8.72,8.72,0,0,2.04,2.04,19.53,19.53,0,0,1017.96,1017.96,2022-03-02 16:00:00,316.22,316.22,2.2,2.2
8.09,8.09,0,0,1.65,1.65,19.57,19.57,0,0,1017.89,1017.89,2022-03-02 17:00:00,310.14,310.14,1.74,1.74
7.47,7.47,0,0,1.25,1.25,19.6,19.6,0,0,1017.82,1017.82,2022-03-02 18:00:00,304.07,304.07,1.27,1.27
7.35,7.35,0,0,1.52,1.52,19.37,19.37,0,0,1017.6,1017.6,2022-03-02 19:00:00,298.47,298.47,1.55,1.55
7.23,7.23,0,0,1.79,1.79,19.13,19.13,0,0,1017.38,1017.38,2022-03-02 20:00:00,292.87,292.87,1.83,1.83
7.12,7.12,0,0,2.05,2.05,18.9,18.9,0,0,1017.16,1017.16,2022-03-02 21:00:00,287.27,287.27,2.11,2.11
7.85,7.85,12.07,12.07,2.08,2.08,20.5,20.5,0,0,1017.41,1017.41,2022-03-02 22:00:00,280.32,280.32,2.15,2.15
8.58,8.58,24.13,24.13,2.1,2.1,22.1,22.1,0,0,1017.66,1017.66,2022-03-02 23:00:00,273.36,273.36,2.18,2.18
9.31,9.31,36.2,36.2,2.13,2.13,23.7,23.7,0,0,1017.91,1017.91,2022-03-03 00:00:00,266.41,266.41,2.22,2.22
11.87,11.87,57.47,57.47,2.92,2.92,21.63,21.63,0,0,1017.46,1017.46,2022-03-03 01:00:00,258.23,258.23,2.63,2.63
14.42,14.42,78.73,78.73,3.71,3.71,19.57,19.57,0,0,1017.02,1017.02,2022-03-03 02:00:00,250.05,250.05,3.05,3.05
16.97,16.97,100,100,4.51,4.51,17.5,17.5,0,0,1016.57,1016.57,2022-03-03 03:00:00,241.87,241.87,3.46,3.46
17.01,17.01,100,100,4.74,4.74,18.3,18.3,0,0,1015.56,1015.56,2022-03-03 04:00:00,239.9,239.9,3.66,3.66
17.05,17.05,100,100,4.98,4.98,19.1,19.1,0,0,1014.55,1014.55,2022-03-03 05:00:00,237.93,237.93,3.87,3.87
17.09,17.09,100,100,5.21,5.21,19.9,19.9,0,0,1013.54,1013.54,2022-03-03 06:00:00,235.96,235.96,4.07,4.07
16.4,16.4,100,100,5.21,5.21,22.6,22.6,0,0,1013.28,1013.28,2022-03-03 07:00:00,242.2,242.2,3.71,3.71
15.72,15.72,100,100,5.22,5.22,25.3,25.3,0,0,1013.01,1013.01,2022-03-03 08:00:00,248.44,248.44,3.36,3.36
15.03,15.03,100,100,5.22,5.22,28,28,0,0,1012.75,1012.75,2022-03-03 09:00:00,254.68,254.68,3,3
14.13,14.13,100,100,4.66,4.66,29.67,29.67,0,0,1013.21,1013.21,2022-03-03 10:00:00,262.18,262.18,3.01,3.01
13.23,13.23,100,100,4.1,4.1,31.33,31.33,0,0,1013.67,1013.67,2022-03-03 11:00:00,269.67,269.67,3.03,3.03
12.33,12.33,100,100,3.54,3.54,33,33,0,0,1014.13,1014.13,2022-03-03 12:00:00,277.17,277.17,3.04,3.04
12.11,12.11,100,100,3.21,3.21,32.4,32.4,0,0,1014.21,1014.21,2022-03-03 13:00:00,276.73,276.73,2.89,2.89
11.88,11.88,100,100,2.87,2.87,31.8,31.8,0,0,1014.29,1014.29,2022-03-03 14:00:00,276.28,276.28,2.75,2.75
11.65,11.65,100,100,2.54,2.54,31.2,31.2,0,0,1014.37,1014.37,2022-03-03 15:00:00,275.84,275.84,2.6,2.6
11.24,11.24,90,90,2.49,2.49,31.4,31.4,0,0,1014.09,1014.09,2022-03-03 16:00:00,278.93,278.93,2.54,2.54
10.83,10.83,80,80,2.45,2.45,31.6,31.6,0,0,1013.82,1013.82,2022-03-03 17:00:00,282.01,282.01,2.49,2.49
10.43,10.43,70,70,2.4,2.4,31.8,31.8,0,0,1013.55,1013.55,2022-03-03 18:00:00,285.1,285.1,2.43,2.43
10.28,10.28,78.1,78.1,2.4,2.4,31.57,31.57,0,0,1013.71,1013.71,2022-03-03 19:00:00,288.99,288.99,2.45,2.45
10.13,10.13,86.2,86.2,2.41,2.41,31.33,31.33,0,0,1013.87,1013.87,2022-03-03 20:00:00,292.87,292.87,2.48,2.48
9.98,9.98,94.3,94.3,2.41,2.41,31.1,31.1,0,0,1014.03,1014.03,2022-03-03 21:00:00,296.76,296.76,2.5,2.5
10.51,10.51,84.33,84.33,2.62,2.62,30.7,30.7,0,0,1014.46,1014.46,2022-03-03 22:00:00,290.1,290.1,2.55,2.55
11.05,11.05,74.37,74.37,2.82,2.82,30.3,30.3,0,0,1014.89,1014.89,2022-03-03 23:00:00,283.44,283.44,2.61,2.61
11.58,11.58,64.4,64.4,3.03,3.03,29.9,29.9,0,0,1015.32,1015.32,2022-03-04 00:00:00,276.78,276.78,2.66,2.66
14.1,14.1,49.6,49.6,4.92,4.92,25.13,25.13,0,0,1015.42,1015.42,2022-03-04 01:00:00,275.94,275.94,3.23,3.23
16.62,16.62,34.8,34.8,6.82,6.82,20.37,20.37,0,0,1015.52,1015.52,2022-03-04 02:00:00,275.1,275.1,3.81,3.81
19.14,19.14,20,20,8.71,8.71,15.6,15.6,0,0,1015.62,1015.62,2022-03-04 03:00:00,274.26,274.26,4.38,4.38
19.85,19.85,13.33,13.33,8.92,8.92,14.5,14.5,0,0,1014.98,1014.98,2022-03-04 04:00:00,281.01,281.01,4.96,4.96
20.56,20.56,6.67,6.67,9.12,9.12,13.4,13.4,0,0,1014.33,1014.33,2022-03-04 05:00:00,287.77,287.77,5.54,5.54
21.28,21.28,0,0,9.33,9.33,12.3,12.3,0,0,1013.69,1013.69,2022-03-04 06:00:00,294.52,294.52,6.12,6.12
20.63,20.63,0,0,8.75,8.75,12.9,12.9,0,0,1013.73,1013.73,2022-03-04 07:00:00,298.61,298.61,6.17,6.17
19.98,19.98,0,0,8.18,8.18,13.5,13.5,0,0,1013.78,1013.78,2022-03-04 08:00:00,302.69,302.69,6.23,6.23
19.34,19.34,0,0,7.6,7.6,14.1,14.1,0,0,1013.82,1013.82,2022-03-04 09:00:00,306.78,306.78,6.28,6.28
17.12,17.12,0,0,6.41,6.41,15.7,15.7,0,0,1015,1015,2022-03-04 10:00:00,315.38,315.38,5.26,5.26
14.9,14.9,0,0,5.22,5.22,17.3,17.3,0,0,1016.17,1016.17,2022-03-04 11:00:00,323.97,323.97,4.24,4.24
