"datetimeEpoch","temp","humidity","precip","preciptype","windgust","windspeed","winddir","pressure","visibility","datetime","tempC","precipmm","windgustkmh","windspeedkmh","visibilitykm"
1646064000,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-01 00:00:00,NA,NA,NA,NA,NA
1646067600,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-01 01:00:00,NA,NA,NA,NA,NA
1646071200,53.9,30.18,0,NA,31.3,15.7,10,1020.6,3.7,2022-03-01 02:00:00,12.1666666666667,0,50.3724672,25.2667008,5.9545728
1646074800,51.3,30.8,0,NA,32.8,15.7,13.3,1021.4,6.2,2022-03-01 03:00:00,10.7222222222222,0,52.7864832,25.2667008,9.9779328
1646078400,48.7,31.4,0,NA,34.3,15.7,16.7,1022.1,8.7,2022-03-01 04:00:00,9.27777777777778,0,55.2004992,25.2667008,14.0012928
1646082000,46.1,31.99,0,NA,35.8,15.7,20,1022.9,11.2,2022-03-01 05:00:00,7.83333333333333,0,57.6145152,25.2667008,18.0246528
1646085600,45.1,32.8,0,NA,35.8,14.2,16.7,1023.9,13.3,2022-03-01 06:00:00,7.27777777777778,0,57.6145152,22.8526848,21.4042752
1646089200,44.1,33.5,0,NA,35.8,12.7,13.3,1024.9,15.3,2022-03-01 07:00:00,6.72222222222222,0,57.6145152,20.4386688,24.6229632
1646092800,43.1,34.31,0,NA,35.8,11.2,10,1025.9,17.4,2022-03-01 08:00:00,6.16666666666667,0,57.6145152,18.0246528,28.0025856
1646096400,45.5,31.3,0,NA,35.8,11.2,10,1026.3,17.8,2022-03-01 09:00:00,7.5,0,57.6145152,18.0246528,28.6463232
1646100000,47.9,28.2,0,NA,35.8,11.2,10,1026.8,18.2,2022-03-01 10:00:00,8.83333333333333,0,57.6145152,18.0246528,29.2900608
1646103600,50.3,25.15,0,NA,35.8,11.2,10,1027.2,18.6,2022-03-01 11:00:00,10.1666666666667,0,57.6145152,18.0246528,29.9337984
1646107200,51.1,23.4,0,NA,35.8,9.7,126.7,1026.3,18.6,2022-03-01 12:00:00,10.6111111111111,0,57.6145152,15.6106368,29.9337984
1646110800,52,21.7,0,NA,35.8,8.2,243.3,1025.4,18.6,2022-03-01 13:00:00,11.1111111111111,0,57.6145152,13.1966208,29.9337984
1646114400,52.8,20.04,0,NA,35.8,6.7,360,1024.5,18.6,2022-03-01 14:00:00,11.5555555555556,0,57.6145152,10.7826048,29.9337984
1646118000,52.1,21.1,0,NA,33.6,5.2,336.7,1024.1,18.6,2022-03-01 15:00:00,11.1666666666667,0,54.0739584,8.3685888,29.9337984
1646121600,51.3,22.1,0,NA,31.3,3.7,313.3,1023.8,18.6,2022-03-01 16:00:00,10.7222222222222,0,50.3724672,5.9545728,29.9337984
1646125200,50.6,23.12,0,NA,29.1,2.2,290,1023.4,18.6,2022-03-01 17:00:00,10.3333333333333,0,46.8319104,3.5405568,29.9337984
1646128800,48.5,26.7,0,NA,27.6,2.2,240,1023.4,17.2,2022-03-01 18:00:00,9.16666666666667,0,44.4178944,3.5405568,27.6807168
1646132400,46.4,30.4,0,NA,26.1,2.2,190,1023.5,15.7,2022-03-01 19:00:00,8,0,42.0038784,3.5405568,25.2667008
1646136000,44.3,33.99,0,NA,24.6,2.2,140,1023.5,14.3,2022-03-01 20:00:00,6.83333333333333,0,39.5898624,3.5405568,23.0136192
1646139600,43.9,34.4,0,NA,23.1,3,146.7,1023.5,15.5,2022-03-01 21:00:00,6.61111111111111,0,37.1758464,4.828032,24.944832
1646143200,43.5,34.7,0,NA,21.6,3.7,153.3,1023.4,16.8,2022-03-01 22:00:00,6.38888888888889,0,34.7618304,5.9545728,27.0369792
1646146800,43.1,35.12,0,NA,20.1,4.5,160,1023.4,18,2022-03-01 23:00:00,6.16666666666667,0,32.3478144,7.242048,28.968192
1646150400,41.9,37.7,0,NA,18.6,4.5,163.3,1023.1,16.6,2022-03-02 00:00:00,5.5,0,29.9337984,7.242048,26.7151104
