time ,device 74,device 119,device 125,device 127,device 128,device 129,device 130,device 133,device 134,device 138,device 139,device 140,device 160,device 161,device 162,device 163,device 164,device 165,device 166,device 167,device 168,device 169,device 170,device 171,device 172,device 173,device 174,device 175,device 176,device 177,device 178
2022/8/1,,,305.8331733,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/2,,,208.0943131,,,,,,,,,,,,,,,,,,,,,,,,,234.2696014,290.5050189,334.294885,317.2709729
2022/8/3,,,191.703307,,,,,,,,,,,,,,,,,,,,,,,,,272.512578,350.5210292,393.7310944,365.617526
2022/8/4,,,188.2021401,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/5,,,179.4882471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/6,,,147.8980514,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/7,,,147.8157006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/8,,,165.9556746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/9,,246.9234457,147.5722677,228.1467638,197.7572155,211.6021279,195.5019771,207.2254492,231.2376904,211.814305,234.6947173,248.6682881,,,,396.9537954,481.5601963,,,469.7470692,414.3032745,410.7688558,,,,,,,348.3416652,,
2022/8/10,,203.4584206,156.3894113,180.4635174,156.0589512,177.6417028,122.1484384,181.0966768,183.2987635,156.4550585,196.4710565,202.3736459,,,383.7685378,226.3067191,268.212952,,341.7202777,271.584298,281.7651229,259.1190147,301.1278206,295.7417394,,369.9044476,,,207.8050787,,
2022/8/11,219.8679508,202.2017166,141.037986,182.1668284,166.5151938,189.5500146,99.92452501,182.5336061,190.8900784,162.9753371,209.6104616,194.8761571,,,296.7545193,203.4544795,250.6332702,333.9191779,241.0917711,257.459676,278.4269327,240.4965414,220.2543495,218.08229,,294.3834806,268.6502592,,191.5638322,,365.8908978
2022/8/12,161.5268105,180.4144075,155.1229799,158.091863,150.5996007,168.7296589,66.07732955,162.0101909,166.0062414,145.3327136,182.6753738,155.9843064,,,248.8120774,170.1498144,217.5574542,240.6603502,205.8477873,225.5724341,252.1765333,214.5682684,185.2939172,189.0140793,,239.0616452,202.9752623,272.0218356,163.6835256,304.229269,217.2853672
2022/8/13,147.4002673,175.1825237,185.9527632,150.3819816,145.3169552,163.7556896,60.56502132,155.6644975,160.8551667,141.2538609,178.855324,155.1582615,,,228.1238177,153.3229756,210.9971864,218.3499756,187.5760663,214.5559794,235.2171211,200.9381944,164.9955276,180.8587162,,220.7653309,183.7635767,215.2551032,152.8645565,227.1483885,193.411773
2022/8/14,136.4809716,168.4242794,187.4622429,146.7679236,139.952281,156.5507496,63.5924333,152.0683766,153.5765342,134.4199954,168.3658189,160.7627632,,,215.0483719,153.2170138,192.9234767,203.5256462,175.3008487,204.217343,217.3645391,187.1609579,154.4567052,177.3932053,,205.8605854,173.4418431,205.06211,147.0608304,210.423401,179.5277514
2022/8/15,142.0913367,181.149573,177.2568931,174.1740779,144.8451571,164.6402791,72.40520265,171.7463476,181.1373331,142.4036851,183.1644591,156.7127526,,,219.3107723,165.5986172,189.5786429,233.0249952,177.15904,218.8114323,220.4217102,185.3980188,158.9436954,186.3267318,,206.7455498,165.2157434,190.9324081,151.5923906,206.2030772,192.6964418
