"airTemperature.noaa","airTemperature.sg","precipitation.noaa","precipitation.sg","time","windDirection.noaa","windDirection.sg","windSpeed.noaa","windSpeed.sg"
 1.08, 1.08,0.00,0.00,"2021-12-31T16:00:00+00:00",239.51,239.51,2.67,2.67
 0.37, 0.37,0.00,0.00,"2021-12-31T17:00:00+00:00",241.46,241.46,2.37,2.37
-0.33,-0.33,0.00,0.00,"2021-12-31T18:00:00+00:00",243.42,243.42,2.08,2.08
-0.26,-0.26,0.00,0.00,"2021-12-31T19:00:00+00:00",245.50,245.50,2.13,2.13
-0.19,-0.19,0.00,0.00,"2021-12-31T20:00:00+00:00",247.58,247.58,2.19,2.19
-0.12,-0.12,0.00,0.00,"2021-12-31T21:00:00+00:00",249.66,249.66,2.24,2.24
-0.07,-0.07,0.00,0.00,"2021-12-31T22:00:00+00:00",253.17,253.17,2.02,2.02
-0.03,-0.03,0.00,0.00,"2021-12-31T23:00:00+00:00",256.68,256.68,1.80,1.80
 0.01, 0.01,0.00,0.00,"2022-01-01T00:00:00+00:00",260.19,260.19,1.58,1.58
 2.42, 2.42,0.00,0.00,"2022-01-01T01:00:00+00:00",243.75,243.75,1.33,1.33
 4.83, 4.83,0.00,0.00,"2022-01-01T02:00:00+00:00",227.30,227.30,1.08,1.08
 7.24, 7.24,0.00,0.00,"2022-01-01T03:00:00+00:00",210.86,210.86,0.83,0.83
 8.26, 8.26,0.00,0.00,"2022-01-01T04:00:00+00:00",202.11,202.11,1.07,1.07
 9.28, 9.28,0.00,0.00,"2022-01-01T05:00:00+00:00",193.36,193.36,1.31,1.31
10.29,10.29,0.00,0.00,"2022-01-01T06:00:00+00:00",184.61,184.61,1.55,1.55
 9.50, 9.50,0.00,0.00,"2022-01-01T07:00:00+00:00",151.41,151.41,1.97,1.97
 8.71, 8.71,0.00,0.00,"2022-01-01T08:00:00+00:00",118.22,118.22,2.40,2.40
 7.92, 7.92,0.00,0.00,"2022-01-01T09:00:00+00:00", 85.02, 85.02,2.82,2.82
 6.87, 6.87,0.00,0.00,"2022-01-01T10:00:00+00:00", 65.28, 65.28,2.78,2.78
 5.83, 5.83,0.00,0.00,"2022-01-01T11:00:00+00:00", 45.55, 45.55,2.74,2.74
 4.79, 4.79,0.00,0.00,"2022-01-01T12:00:00+00:00", 25.81, 25.81,2.70,2.70
 4.13, 4.13,0.00,0.00,"2022-01-01T13:00:00+00:00", 26.41, 26.41,2.82,2.82
 3.47, 3.47,0.00,0.00,"2022-01-01T14:00:00+00:00", 27.00, 27.00,2.93,2.93
 2.81, 2.81,0.00,0.00,"2022-01-01T15:00:00+00:00", 27.60, 27.60,3.05,3.05
 2.40, 2.40,0.00,0.00,"2022-01-01T16:00:00+00:00", 28.59, 28.59,3.43,3.43
 1.98, 1.98,0.00,0.00,"2022-01-01T17:00:00+00:00", 29.58, 29.58,3.80,3.80
 1.56, 1.56,0.00,0.00,"2022-01-01T18:00:00+00:00", 30.57, 30.57,4.18,4.18
 0.84, 0.84,0.00,0.00,"2022-01-01T19:00:00+00:00", 30.73, 30.73,4.05,4.05
 0.12, 0.12,0.00,0.00,"2022-01-01T20:00:00+00:00", 30.88, 30.88,3.92,3.92
-0.59,-0.59,0.00,0.00,"2022-01-01T21:00:00+00:00", 31.04, 31.04,3.79,3.79
-0.87,-0.87,0.00,0.00,"2022-01-01T22:00:00+00:00", 27.84, 27.84,3.63,3.63
-1.14,-1.14,0.00,0.00,"2022-01-01T23:00:00+00:00", 24.63, 24.63,3.48,3.48
-1.42,-1.42,0.00,0.00,"2022-01-02T00:00:00+00:00", 21.43, 21.43,3.32,3.32
 0.28, 0.28,0.00,0.00,"2022-01-02T01:00:00+00:00", 30.16, 30.16,3.36,3.36
 1.98, 1.98,0.00,0.00,"2022-01-02T02:00:00+00:00", 38.90, 38.90,3.39,3.39
 3.68, 3.68,0.00,0.00,"2022-01-02T03:00:00+00:00", 47.63, 47.63,3.43,3.43
 4.29, 4.29,0.00,0.00,"2022-01-02T04:00:00+00:00", 66.14, 66.14,3.31,3.31
 4.90, 4.90,0.00,0.00,"2022-01-02T05:00:00+00:00", 84.64, 84.64,3.19,3.19
 5.51, 5.51,0.00,0.00,"2022-01-02T06:00:00+00:00",103.15,103.15,3.07,3.07
 4.92, 4.92,0.00,0.00,"2022-01-02T07:00:00+00:00",107.49,107.49,2.38,2.38
 4.32, 4.32,0.00,0.00,"2022-01-02T08:00:00+00:00",111.82,111.82,1.70,1.70
 3.72, 3.72,0.00,0.00,"2022-01-02T09:00:00+00:00",116.16,116.16,1.01,1.01
 3.10, 3.10,0.00,0.00,"2022-01-02T10:00:00+00:00", 66.69, 66.69,1.28,1.28
 2.48, 2.48,0.00,0.00,"2022-01-02T11:00:00+00:00", 17.23, 17.23,1.56,1.56
 1.86, 1.86,0.00,0.00,"2022-01-02T12:00:00+00:00",327.76,327.76,1.83,1.83
 1.70, 1.70,0.00,0.00,"2022-01-02T13:00:00+00:00",315.38,315.38,1.50,1.50
 1.55, 1.55,0.00,0.00,"2022-01-02T14:00:00+00:00",303.00,303.00,1.18,1.18
 1.39, 1.39,0.00,0.00,"2022-01-02T15:00:00+00:00",290.62,290.62,0.85,0.85
 1.19, 1.19,0.00,0.00,"2022-01-02T16:00:00+00:00",275.66,275.66,1.29,1.29
 0.99, 0.99,0.00,0.00,"2022-01-02T17:00:00+00:00",260.70,260.70,1.72,1.72
 0.78, 0.78,0.00,0.00,"2022-01-02T18:00:00+00:00",245.74,245.74,2.16,2.16
 0.44, 0.44,0.00,0.00,"2022-01-02T19:00:00+00:00",252.39,252.39,2.29,2.29
 0.09, 0.09,0.00,0.00,"2022-01-02T20:00:00+00:00",259.03,259.03,2.41,2.41
-0.25,-0.25,0.00,0.00,"2022-01-02T21:00:00+00:00",265.68,265.68,2.54,2.54
-0.25,-0.25,0.00,0.00,"2022-01-02T22:00:00+00:00",277.72,277.72,1.99,1.99
-0.25,-0.25,0.00,0.00,"2022-01-02T23:00:00+00:00",289.75,289.75,1.43,1.43
-0.26,-0.26,0.00,0.00,"2022-01-03T00:00:00+00:00",301.79,301.79,0.88,0.88
 2.14, 2.14,0.00,0.00,"2022-01-03T01:00:00+00:00",352.11,352.11,1.47,1.47
 4.54, 4.54,0.00,0.00,"2022-01-03T02:00:00+00:00", 42.42, 42.42,2.05,2.05
 6.94, 6.94,0.00,0.00,"2022-01-03T03:00:00+00:00", 92.74, 92.74,2.64,2.64
 7.69, 7.69,0.00,0.00,"2022-01-03T04:00:00+00:00", 87.24, 87.24,3.02,3.02
 8.44, 8.44,0.00,0.00,"2022-01-03T05:00:00+00:00", 81.75, 81.75,3.40,3.40
 9.20, 9.20,0.00,0.00,"2022-01-03T06:00:00+00:00", 76.25, 76.25,3.78,3.78
 8.18, 8.18,0.00,0.00,"2022-01-03T07:00:00+00:00", 69.76, 69.76,3.93,3.93
 7.16, 7.16,0.00,0.00,"2022-01-03T08:00:00+00:00", 63.26, 63.26,4.09,4.09
 6.14, 6.14,0.00,0.00,"2022-01-03T09:00:00+00:00", 56.77, 56.77,4.24,4.24
 5.06, 5.06,0.00,0.00,"2022-01-03T10:00:00+00:00", 47.75, 47.75,3.97,3.97
 3.98, 3.98,0.00,0.00,"2022-01-03T11:00:00+00:00", 38.74, 38.74,3.70,3.70
 2.90, 2.90,0.00,0.00,"2022-01-03T12:00:00+00:00", 29.72, 29.72,3.43,3.43
 2.72, 2.72,0.00,0.00,"2022-01-03T13:00:00+00:00", 28.80, 28.80,3.29,3.29
 2.55, 2.55,0.00,0.00,"2022-01-03T14:00:00+00:00", 27.88, 27.88,3.15,3.15
 2.38, 2.38,0.00,0.00,"2022-01-03T15:00:00+00:00", 26.96, 26.96,3.01,3.01
 2.10, 2.10,0.00,0.00,"2022-01-03T16:00:00+00:00", 29.29, 29.29,3.01,3.01
 1.82, 1.82,0.00,0.00,"2022-01-03T17:00:00+00:00", 31.62, 31.62,3.00,3.00
 1.54, 1.54,0.00,0.00,"2022-01-03T18:00:00+00:00", 33.95, 33.95,3.00,3.00
 1.30, 1.30,0.00,0.00,"2022-01-03T19:00:00+00:00", 32.09, 32.09,2.92,2.92
 1.07, 1.07,0.00,0.00,"2022-01-03T20:00:00+00:00", 30.24, 30.24,2.85,2.85
 0.83, 0.83,0.00,0.00,"2022-01-03T21:00:00+00:00", 28.38, 28.38,2.77,2.77
 0.78, 0.78,0.00,0.00,"2022-01-03T22:00:00+00:00", 29.70, 29.70,2.84,2.84
 0.72, 0.72,0.00,0.00,"2022-01-03T23:00:00+00:00", 31.03, 31.03,2.92,2.92
 0.67, 0.67,0.00,0.00,"2022-01-04T00:00:00+00:00", 32.35, 32.35,2.99,2.99
 1.86, 1.86,0.00,0.00,"2022-01-04T01:00:00+00:00", 34.93, 34.93,3.12,3.12
 3.05, 3.05,0.00,0.00,"2022-01-04T02:00:00+00:00", 37.52, 37.52,3.24,3.24
 4.24, 4.24,0.00,0.00,"2022-01-04T03:00:00+00:00", 40.10, 40.10,3.37,3.37
